,xgb,rf
all_tf,0.3406021849787618,0.3162591128869384
t20_corr,0.37062053085196434,0.35808005608682114
t20_RF_perm,0.45280988495720753,0.40149038099752543
t20_XGB_perm,0.45636447200673524,0.40378488065758333
