,xgb,rf
all_tf,0.46679650895883806,0.48091651207629443
t20_corr,0.5009360865516275,0.4968842803809332
t20_RF_perm,0.46156005692466495,0.4771660884503608
t20_XGB_perm,0.46460682080492244,0.4703487739415995
