,feature,weight,std
0,STAT4,0.1154041146578362,0.0067753505764688105
1,XBP1,0.0941988481215608,0.0163932880028277
2,USF1,0.055240841314108294,0.02168744462519675
3,TCF4,0.03695905086018345,0.013418921439689173
4,RFX5,0.03682856678905302,0.0076893590291673575
5,ELK4,0.031264372075565074,0.017489492046017265
6,GCFC2,0.03048717356786219,0.011878885219635638
7,TFAP2A,0.029504660983835217,0.00580525977716214
8,RBBP5,0.02672216143804611,0.008128193451064688
9,IRF1,0.01827001852890129,0.004151029750192918
10,ARNT,0.014890580030108059,0.0017048438654408411
11,NR3C1,0.01254543635001908,0.005657141114017671
12,SREBP1,0.012334464919027344,0.004560733862513845
13,ATF3,0.011196437244193636,0.004624696185597263
14,BHLHE40,0.010796950219306,0.00411637312489531
15,TCF12,0.010768389685343216,0.007180532876042302
16,ELK1,0.00907366610646163,0.002476968645047271
17,PML,0.008415366533457291,0.0034944524551924136
18,NFYA,0.007679720458256267,0.0034434669391124944
19,MYBL2,0.007588025693399403,0.00540391459674666
20,CHD1,0.0070632155372585045,0.0025217340430645015
21,FOXA1,0.006770974546389597,0.0021060273476277225
22,CTF,0.006709409391550602,0.004460845290324011
23,PGR,0.004640358615698758,0.004278205946904109
24,MAX,0.004546769452222299,0.0006515865401322163
25,HNF4A,0.004381992901746723,0.0018139879340812487
26,RXRA,0.004381228328779319,0.004192441755906621
27,TAF1,0.004342633060366885,0.003109511604167382
28,NFATC1,0.004127864247706903,0.001849700933242507
29,ESR1,0.004036116340309115,0.0026712839996814305
30,CHD2,0.00398391678638006,0.0008905737623363816
31,PPARA,0.003975889320227055,0.0021445878384968925
32,USF2,0.0035707353812004516,0.0031267426951755947
33,MYB,0.0035030229064435315,0.001859761222806485
34,TP53,0.0034055237794962554,0.003522165166569592
35,AR,0.003264343509192891,0.000853903700159214
36,REST,0.0030437113771876858,0.002152987984925958
37,NFATC2,0.0029689028576460165,0.0015841565660598353
38,TCF7L2,0.00286730861683866,0.011512680849128517
39,RARA,0.002853818978059963,0.0018817066771905885
40,SPI1,0.002742337848391241,0.0036082141824580766
41,CEBPB,0.0023149478359848485,0.006553822437769411
42,VDR,0.0021131098842129383,0.003885578362668307
43,KDM5A,0.0021031002082219086,0.0030608859133171317
44,EGR1,0.0020564888946431824,0.002079631792700427
45,TAL1,0.001730623086516725,0.0026115611814410706
46,CREB1,0.0015798911750249055,0.006057038298035059
47,NR2F2,0.001422803663678618,0.0013809644891550547
48,GATA2,0.001314280958150582,0.0024282185688098094
49,LEF1,0.0012383610140862754,0.004120309072518206
50,RARB,0.001230754334572892,0.001837054275283427
51,TCF3,0.0009983063128830016,0.00510691277654482
52,CEBPA,0.0008428087984699628,0.0019325686049617896
53,ETS2,0.0004542430413648546,0.003986206397704501
54,NFKB1,0.0004192857104758696,0.001212989807093691
55,TAF7,0.00016424884930916762,0.0012650212405894467
56,JUND,0.00013266754555063542,0.010308929054094779
57,YY1,8.625125697474534e-05,0.00031032598161038946
58,HOXD9,0.0,0.0
59,HOXD10,0.0,0.0
60,FOXA2,0.0,0.0
61,SRY,-0.000263197436095064,0.0014455979177497192
62,NFYB,-0.00028065919405677596,0.0022450151104808007
63,NF1,-0.00040911952498055013,0.002123319703111108
64,ATF1,-0.0004342441091923499,0.0023378449930916622
65,PAX5,-0.00045018847297968457,0.0018632480471695453
66,IKZF1,-0.0004748778396297615,0.00037791150584764533
67,HNF1A,-0.0005032252049437025,0.0010220012086671684
68,RELA,-0.0005087812747679443,0.001649901472978603
69,GABPA,-0.0005496433159498437,0.001225261977711752
70,NR2F1,-0.0006121103857826604,0.0016027242603795287
71,ETS1,-0.0006561836509394014,0.0032013817138013545
72,E2F1,-0.000703370802656611,0.002621335050034845
73,SP1,-0.0009280693960832753,0.0016162493092552245
74,TEAD2,-0.000990116916547179,0.0009686724178287319
75,HDAC1,-0.00104605402445217,0.0018069737334585711
76,ETV4,-0.0014687134184164785,0.004731372779006834
77,CCNT2,-0.0015684001859220143,0.00380980872808479
78,MAZ,-0.0016591696473170713,0.0019941658660562922
79,THAP1,-0.0017175067777493557,0.0016236963843357618
80,GATA1,-0.0018320228819041161,0.0006591969039959513
81,MXI1,-0.002093226657617664,0.002405881840454735
82,EBF1,-0.0021243156165742017,0.0022576793801283744
83,TBP,-0.002863697186304215,0.005203404004039101
84,E2F6,-0.00353195593677329,0.0016638925016050716
85,SIN3A,-0.0037172674377843997,0.0027186576914451192
86,STAT1,-0.003941953109788421,0.002384878053597804
87,FOXP3,-0.004811358016129974,0.005215038975567071
88,STAT5A,-0.00570493721481462,0.0033632926618577096
89,HDAC2,-0.006117329362284041,0.0018381452438973424
90,KDM5B,-0.006928719184730636,0.005265232176372606
91,FOSL2,-0.00778212516543233,0.007464879460021799
92,MYC,-0.008043392583479369,0.0030248471423628765
