,xgb,rf
all_tf,0.45952913645867066,0.3590781785212416
t20_corr,0.34131803664211036,0.3559421442307209
t20_RF_perm,0.463142042019255,0.4637792319666846
t20_XGB_perm,0.5113577874768236,0.4732383607272781
