,xgb,rf
all_tf,0.4734356020320146,0.5202869873556627
t20_corr,0.5670638893293645,0.554556206573907
t20_RF_perm,0.5027438128101414,0.4997510181599233
t20_XGB_perm,0.48899490470601154,0.49889819402217794
