,feature,weight,std
0,STAT4,0.0617786729887545,0.008338346206337976
1,XBP1,0.039816061929296986,0.01836044261186059
2,ARNT,0.0316664061680743,0.014663067802798632
3,RFX5,0.0254490574249004,0.009203532722012533
4,TCF4,0.02440037329282376,0.006114908559644226
5,GCFC2,0.019432990387298177,0.00816133473044243
6,RBBP5,0.01885828840837711,0.013197824455883989
7,USF1,0.016371505688685218,0.0071931219663386396
8,ELK4,0.014281016291997472,0.014156515632463387
9,NR3C1,0.007005976957996651,0.002174448180890342
10,TCF12,0.006289504323753725,0.003813496560847911
11,LEF1,0.005925459891229367,0.0015552082883101633
12,CCNT2,0.005424995428126178,0.0019296350251061958
13,KDM5B,0.00525373318740221,0.003906332108837359
14,CEBPB,0.004761532248968847,0.003958009141749852
15,JUND,0.003829873039350162,0.0018630266713717892
16,E2F1,0.0036976101512694592,0.0012629913909817298
17,PGR,0.0035489243853248143,0.0011181735570645701
18,TBP,0.0033616057986866955,0.001917052237975388
19,E2F6,0.0033433503879542804,0.0018149805449838615
20,CREB1,0.0031999821025114894,0.002764191028768966
21,YY1,0.0028804571212371678,0.0014963778200649432
22,CTF,0.0026124434680531603,0.0019995591275404406
23,TFAP2A,0.00257615884321345,0.001395101162542012
24,REST,0.0021651886393271756,0.0022599502090198354
25,FOXA1,0.0021437603152962615,0.0008837906399381477
26,HNF1A,0.002093375323691515,0.0006600174650776443
27,HNF4A,0.002059420057930339,0.0004293438460906606
28,TAF1,0.0020130819126144895,0.0008343143770592195
29,TP53,0.001978772040785337,0.0012573661284533977
30,RXRA,0.0018578095699784303,0.0009472571521613489
31,GABPA,0.0018472531709400775,0.0012403943670770397
32,GATA1,0.0017809011474944959,0.000883428347850677
33,MXI1,0.0017520820404071768,0.0018230353044341148
34,IKZF1,0.001658795870873786,0.0013138168013831152
35,MAX,0.0016239085508258145,0.0009828635925131994
36,BHLHE40,0.0016132015015393186,0.0010617867961208835
37,CEBPA,0.0013859216388975692,0.0005422686749173179
38,TAF7,0.0013739904865765595,0.001815564739310542
39,SPI1,0.0013411885700974624,0.0011514388960012223
40,PPARA,0.0013341009386584669,0.000828528728882046
41,NR2F2,0.0012582848586205175,0.0011277726723932916
42,MYB,0.0011320128013337482,0.0014458674968104172
43,TCF7L2,0.001074007365936902,0.00217525329270631
44,EBF1,0.0009803979702229127,0.0005410006094474316
45,ESR1,0.0009576852286613535,0.0009674229463141532
46,CHD2,0.000929875376559508,0.0013117814593796436
47,VDR,0.0008775173978712081,0.0009007292400029026
48,TEAD2,0.0008311141120232568,0.0011701418006156877
49,AR,0.000815095907827601,0.0013188982319279848
50,SIN3A,0.0008137163056493923,0.0009811883668619785
51,TAL1,0.0008017727718664603,0.0006313679466084454
52,NR2F1,0.0007489952101606967,0.0008810510363824541
53,NFYA,0.0007138751618328331,0.002365330279768408
54,IRF1,0.0006151605113664749,0.0009914720849287042
55,STAT1,0.0004810077568536242,0.00195842055694242
56,PML,0.000457740606078616,0.0018328177480503747
57,GATA2,0.0004038531085676533,0.0007499641091270675
58,ELK1,0.00035266981416954836,0.0011874666573236357
59,NFATC2,0.00034341595467630716,0.0017479227583038753
60,EGR1,0.00024082802013840609,0.0011095259282852083
61,ATF3,0.0001939847978271958,0.0005077025273676361
62,NFYB,0.00014524884488458233,0.0025852593748969368
63,HDAC2,0.00014204267210933265,0.0006200015178442162
64,HOXD10,0.000139260256638285,3.5527136804548623e-16
65,ATF1,9.367170967495841e-05,0.0012046631751900648
66,MYBL2,4.726481273211736e-05,0.0018509527070821915
67,SRY,3.3306690738754696e-16,2.1065000811460205e-16
68,FOXA2,2.220446049250313e-16,2.3288234633381846e-16
69,HOXD9,-2.8082092081604948e-05,9.42503038986001e-05
70,FOXP3,-3.65840079187274e-05,0.0021084229438818707
71,NFATC1,-4.9306332937693045e-05,0.000650620503810384
72,NFKB1,-7.576597193597046e-05,0.0012540496848206766
73,RARA,-9.646805424734506e-05,0.0009432237274445903
74,RELA,-0.000388146958412916,0.0011913503614426058
75,ETS2,-0.0004796094123149075,0.000739451216581754
76,STAT5A,-0.0005914012819432379,0.0009579102406894951
77,HDAC1,-0.0007992680147222986,0.001475892648351331
78,KDM5A,-0.0008266766977595097,0.000426802864913981
79,THAP1,-0.0008359223705111773,0.0008111945392189222
80,RARB,-0.000883648277356297,0.001090121689136311
81,SREBP1,-0.001129899749383534,0.0006998544105326966
82,PAX5,-0.0012965066326749096,0.0018386559898078702
83,TCF3,-0.001327532961430733,0.0033984584752604703
84,NF1,-0.0013333051665692208,0.0005422655971336988
85,CHD1,-0.0014122953563145747,0.0010451026804798999
86,SP1,-0.001685518372311723,0.001480157434130375
87,FOSL2,-0.0017400850899828234,0.0013075794913376914
88,ETV4,-0.0018627942783952412,0.001061709630486264
89,MAZ,-0.002200834309826383,0.0018709617779297653
90,ETS1,-0.002383788699282241,0.001769209454998558
91,USF2,-0.003304742047789744,0.0008684039044188365
92,MYC,-0.003722413521985324,0.002757583624682035
