,feature,weight,std
88,STAT3,-0.000240463162249549,0.0013650748257160222
89,FOXP3,-0.0002544850720268332,0.0002684236814406547
90,KLF5,-0.0002872131568896652,0.00038169466491020423
91,HOXD9,-0.0003048586329972069,0.0004319061109192353
92,TAF13,-0.00030728029163817894,0.001155900940570341
93,CEBPA,-0.00036134782857897283,0.0003424420345496404
94,BACH1,-0.0003981260634452033,0.000609854438298198
95,PENK,-0.0005441119872828803,0.00015732356786337566
96,IKZF1,-0.0005491088244998332,0.0007948653149089453
97,TP53,-0.0005751188689983921,0.0011407712794494604
98,ETV4,-0.0005839200343272122,0.0013325792819743262
99,THRB,-0.0006338152855515089,0.0007951497994394228
100,ATF3,-0.0006643272488930485,0.0009091097221480052
101,NFATC1,-0.0008796182238029804,0.003169316182975735
102,CEBPB,-0.0009307410551503859,0.0013353173487781526
103,GATA1,-0.0013643028480588403,0.0006142380415336674
104,EZH2,-0.0016935069521705648,0.0011625392514753989
105,MAZ,-0.0020358538333762554,0.0012280301549562312
106,NFIC,-0.0026073095344860686,0.0011048446366978674
107,NFYB,-0.002631424816603145,0.0024875190391164433
108,JUND,-0.0029863096765907703,0.0019361103388201941
