,xgb,rf
all_tf,0.43437199237919977,0.4120531446289998
t20_corr,0.39896638990125943,0.37458185413086187
t20_RF_perm,0.4522596749617209,0.416876232385764
t20_XGB_perm,0.4870618555407543,0.4184517636994445
