,fit_time,score_time,test_adj_rSquared,test_rSquared,test_mae
count,5.0,5.0,5.0,5.0,5.0
mean,1.852578830718994,0.027294492721557616,0.4266020368876209,0.44134234442264353,-0.5038852955201563
std,0.10936795981141362,0.0019444665878431762,0.027573354955985462,0.026864528350433153,0.02577711768653831
min,1.6934089660644531,0.02571249008178711,0.3814567197033294,0.3973575752379481,-0.5304319407373638
25%,1.8101749420166016,0.025868654251098633,0.42207981093809566,0.4369363710682217,-0.5264373548060748
50%,1.8636186122894287,0.02689838409423828,0.4330101183059285,0.4475856936708146,-0.5078436677192814
75%,1.9129259586334229,0.02747368812561035,0.44652071522064674,0.46074897446947327,-0.4806220312783219
max,1.9827656745910645,0.03051924705505371,0.44994282027010435,0.46408310766675975,-0.47409148305973925
