,fit_time,score_time,test_adj_rSquared,test_rSquared,test_mae
count,5.0,5.0,5.0,5.0,5.0
mean,1.846308946609497,0.030341529846191408,0.4691898067999837,0.4828353130519122,-0.4789844337831576
std,0.09708125281363364,0.003465316486986532,0.034780381970405116,0.033886284747515545,0.03100544724499854
min,1.7458953857421875,0.025545835494995117,0.4352153748747013,0.4497342598393619,-0.530150253029902
25%,1.7700598239898682,0.02791881561279297,0.4364756173410972,0.45096210532718717,-0.4801501088545628
50%,1.8222737312316895,0.031655073165893555,0.47462106076324984,0.48812694609067264,-0.47240056379898726
75%,1.9233689308166504,0.03323769569396973,0.4809971115472945,0.49433908811420213,-0.46436535564631715
max,1.9699468612670898,0.033350229263305664,0.5186398694735759,0.5310141658881369,-0.44785588758601846
