,fit_time,score_time,test_adj_rSquared,test_rSquared,test_mae
count,5.0,5.0,5.0,5.0,5.0
mean,0.2947255611419678,0.0037452220916748048,0.36037316711825085,0.4499866951183932,-0.48425492353354416
std,0.02496209526003322,0.00016972259902927863,0.06350109870621463,0.05460441521138507,0.028853702685714477
min,0.274660587310791,0.003556966781616211,0.26199975224902194,0.36539567384909477,-0.5135536958488228
25%,0.27605295181274414,0.0036919116973876953,0.3301184545504585,0.4239707533345203,-0.5049325323846997
50%,0.28371405601501465,0.0037107467651367188,0.3994354963925869,0.4835762816023659,-0.49570215681214996
75%,0.3057723045349121,0.00374603271484375,0.40514923259083213,0.48848950720214235,-0.4571964512420985
max,0.33342790603637695,0.0040204524993896484,0.40516289980835474,0.4885012596038424,-0.4498897813799498
