,fit_time,score_time,test_adj_rSquared,test_rSquared,test_mae
count,5.0,5.0,5.0,5.0,5.0
mean,6.682212924957275,0.02118339538574219,0.35625015372424557,0.44644132755979477,-0.49356657005209614
std,0.652165786724388,0.0018943541908599192,0.03532893373564684,0.030379250217413552,0.03369914107489346
min,5.651282548904419,0.01902627944946289,0.3009499897472897,0.3988888729317954,-0.5425713935303323
25%,6.478705883026123,0.019826889038085938,0.34188690734200045,0.434090412611566,-0.514428441638398
50%,6.969131946563721,0.020858049392700195,0.37219625687074576,0.46015333656366186,-0.4747801894331731
75%,6.974546909332275,0.022663354873657227,0.37916732915452,0.4661477419079356,-0.47294122044685377
max,7.337397336959839,0.023542404174804688,0.38705028550667175,0.47292627378401475,-0.46311160521172356
