,fit_time,score_time,test_adj_rSquared,test_rSquared,test_mae
count,5.0,5.0,5.0,5.0,5.0
mean,0.20088887214660645,0.005322313308715821,0.46480067006286774,0.4785590075933852,-0.4763674479603803
std,0.00407144814894208,0.00016901545034159996,0.0762036451288922,0.07424468252917774,0.026539174843807235
min,0.1977534294128418,0.005121946334838867,0.33492226843474515,0.35201938235673114,-0.5128220912229589
25%,0.19819164276123047,0.0051784515380859375,0.4651451250878018,0.47889460773335957,-0.49116627892225734
50%,0.19848394393920898,0.005371809005737305,0.49440388625762555,0.507401215659743,-0.4751808488149531
75%,0.20282959938049316,0.005408287048339844,0.49911294586074495,0.5119892197460728,-0.45403685935293303
max,0.2071857452392578,0.0055310726165771484,0.5304191246734212,0.5424906124710196,-0.44863116148879895
