,fit_time,score_time,test_adj_rSquared,test_rSquared,test_mae
count,5.0,5.0,5.0,5.0,5.0
mean,2.0009612083435058,0.032876110076904295,0.4523487347565932,0.4664271734517964,-0.48712510109411367
std,0.04782394320041675,0.005960065343367683,0.047036651659415445,0.0458274832362942,0.029830664143569247
min,1.9333701133728027,0.0262143611907959,0.3779642741582526,0.3939549097840045,-0.5312832667470159
25%,1.9882707595825195,0.03064107894897461,0.4355959062532494,0.45010500892026095,-0.5032450566869443
50%,1.9894070625305176,0.03221869468688965,0.4698722705954185,0.4835002327909089,-0.4731436877303059
75%,2.0410258769989014,0.032824039459228516,0.48603195064051175,0.4992444968965397,-0.4703995592646765
max,2.052732229232788,0.04248237609863281,0.4922792721355338,0.5053312188672681,-0.4575539350416257
