,fit_time,score_time,test_adj_rSquared,test_rSquared,test_mae
count,5.0,5.0,5.0,5.0,5.0
mean,0.20476608276367186,0.005385494232177735,0.4796206844294687,0.49299804472691167,-0.4775948732470692
std,0.009625611913769401,6.389653504685338e-05,0.058019713315018956,0.056528203975301256,0.027467098633463402
min,0.1957385540008545,0.00527501106262207,0.39310270138221426,0.40870417435439377,-0.5150537254560615
25%,0.1978299617767334,0.00539708137512207,0.4572928986566034,0.4712442380227575,-0.49222254027561607
50%,0.19988799095153809,0.005400896072387695,0.4842411397365536,0.4974997222626062,-0.47764459245313673
75%,0.21509027481079102,0.005415678024291992,0.527961701698046,0.5400963623227748,-0.4560839256439735
max,0.21528363227844238,0.005438804626464844,0.5355049806739265,0.5474457266720261,-0.4469695824065583
