,fit_time,score_time,test_adj_rSquared,test_rSquared,test_mae
count,5.0,5.0,5.0,5.0,5.0
mean,0.22170453071594237,0.00621485710144043,0.4198910611962151,0.4348038873865437,-0.5072016395208532
std,0.029234154097595482,0.0018298323610150388,0.052643152952257244,0.05128985853189076,0.02205937108941791
min,0.19115018844604492,0.0048596858978271484,0.32750391286898495,0.3447917300188824,-0.5337323522425977
25%,0.2010021209716797,0.0050389766693115234,0.4290401165643277,0.44371774852925494,-0.5261085532599399
50%,0.21865510940551758,0.005063533782958984,0.4375410399066839,0.4520001391378745,-0.5026409529832337
75%,0.23193860054016113,0.007039070129394531,0.45132612843358466,0.4654308552090709,-0.49056128332427906
max,0.2657766342163086,0.009073019027709961,0.4540441082074942,0.4680789640376357,-0.48296505579421595
