NFIC
IKZF1
YY1
ARNT
NFYB
ATF2
SP1
FOS
CREB1
POU2F2
TBP
MAZ
HNF4A
NR2F1
STAT5A
ELF1
GATA2
MEF2A
RELA
SPI1
NFATC1
JUND
MYB
PAX5
EBF1
CEBPB
JUNB
FOXK2
MXI1
TAF1
ZNF687
GATA3
NR2C1
CTBP2
ZNF207
STAT3
SMAD1
SIN3A
PBX3
MTA1
EZH2
ZEB1
RCOR1
HNRNPLL
SRF
BCL3
RAD21
KLF5
MAX
MYC
BACH1
ZNF217
ETV6
EED
BCL11A
NBN
EP300
TCF12
MTA2
RELB
BATF
BHLHE40
TBX21
RUNX3
XBP1
IRF2
STAT1
FOXP3
TCF4
THRB
FOXA1
PENK
ESR1
TAF13
PGR
HNF1A
POU2F1
NFATC2
RXRA
AR
HOXD10
RARB
VDR
GCFC2
ATF1
RBPJ
NR3C1
TP53
SRY
CEBPA
HOXD9
ATF3
ETV4
E2F1
ETFA
ETFB
EGR3
WT1
AHR
RARA
NFKB1
USF2
IRF1
LEF1
ELK1
STAT4
GATA1
ETS2
ETS1
CD38
