CEBPB
E2F1
EBF1
ELK1
ETS1
FOSL2
FOXA1
GATA1
IRF1
JUND
NFYA
NFYB
PAX5
RELA
RXRA
SP1
TAF1
TAF7
YY1
ATF1
ATF3
BHLHE40
CCNT2
CHD1
CHD2
CREB1
E2F6
EGR1
ELK4
FOXA2
GABPA
HDAC1
HDAC2
HNF4A
KDM5B
KDM5A
MAX
MAZ
MXI1
MYBL2
MYC
NR2F2
PML
RBBP5
REST
RFX5
SIN3A
SPI1
SREBP1
STAT5A
TAL1
TBP
TCF12
TCF3
THAP1
USF1
USF2
AR
ARNT
CEBPA
CTF
ESR1
ETS2
ETV4
FOXP3
GATA2
GCFC2
HNF1A
HOXD10
HOXD9
IKZF1
LEF1
MYB
NF1
NFATC1
NFATC2
NFKB1
NR2F1
NR3C1
PGR
PPARA
RARA
RARB
SRY
STAT1
STAT4
TCF4
TCF7L2
TFAP2A
TP53
VDR
XBP1
CD46
